[Tue Jun 22 09:46:24.774162 2021] [core:error] [pid 26:tid 140092723140352] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.774206 2021] [core:error] [pid 26:tid 140092228232960] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.792474 2021] [core:error] [pid 25:tid 140093268403968] [client 192.168.192.1:56378] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.800993 2021] [core:error] [pid 26:tid 140093926917888] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.805366 2021] [core:error] [pid 26:tid 140092236625664] [client 192.168.192.1:56376] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.810715 2021] [core:error] [pid 26:tid 140092219840256] [client 192.168.192.1:56364] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.817800 2021] [core:error] [pid 26:tid 140093847238400] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.836280 2021] [core:error] [pid 25:tid 140093260011264] [client 192.168.192.1:56378] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.837291 2021] [core:error] [pid 26:tid 140093838845696] [client 192.168.192.1:56376] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:24.837509 2021] [core:error] [pid 26:tid 140093830452992] [client 192.168.192.1:56360] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/
[Tue Jun 22 09:46:26.605690 2021] [core:error] [pid 26:tid 140093310367488] [client 192.168.192.1:56322] AH00037: Symbolic link not allowed or link target not accessible: /var/www/public/storage, referer: http://localhost/tobacco
